Title,Year,Genres,Rating,Votes,Type,Popularity,Decade
Kate & Leopold,2001,"Comedy,Fantasy,Romance",6.4,93592,movie,73.2588812078556,2000
All About Eve,1950,Drama,8.2,148495,movie,97.64811384631986,1950
Cinderella,1950,"Animation,Family,Fantasy",7.3,186052,movie,88.57660482966264,1950
Harvey,1950,"Comedy,Drama,Fantasy",7.9,60798,movie,87.02096616414335,1950
Rashomon,1950,"Crime,Drama,Mystery",8.1,195453,movie,98.6829092844095,1950
Sunset Boulevard,1950,"Drama,Film-Noir",8.4,259751,movie,104.72682157400143,1950
The African Queen,1951,"Adventure,Drama,Romance",7.7,88533,movie,87.71170594993713,1950
Alice in Wonderland,1951,"Adventure,Animation,Comedy",7.3,165576,movie,87.72545475512659,1950
The Day the Earth Stood Still,1951,"Drama,Sci-Fi",7.7,89591,movie,87.80317813566815,1950
Strangers on a Train,1951,"Crime,Drama,Film-Noir",7.9,148584,movie,94.08035529755071,1950
A Streetcar Named Desire,1951,Drama,7.9,119561,movie,92.36349764487746,1950
High Noon,1952,"Drama,Thriller,Western",7.9,115964,movie,92.12217710904255,1950
Ikiru,1952,Drama,8.3,101475,movie,95.67881225616892,1950
Singin' in the Rain,1952,"Comedy,Musical,Romance",8.3,281019,movie,104.13327376201381,1950
From Here to Eternity,1953,"Drama,Romance,War",7.6,53968,movie,82.81071383549087,1950
Peter Pan,1953,"Adventure,Animation,Family",7.3,164532,movie,87.67928062175598,1950
Roman Holiday,1953,"Comedy,Drama,Romance",8.0,157791,movie,95.75221321237493,1950
The Wages of Fear,1953,"Adventure,Drama,Thriller",8.1,73086,movie,90.71507608231691,1950
Stalag 17,1953,"Comedy,Drama,War",7.9,61309,movie,87.08708724755923,1950
Tokyo Story,1953,Drama,8.1,77117,movie,91.14994012771407,1950
Diabolique,1955,"Crime,Drama,Horror",8.1,73095,movie,90.7160734759603,1950
Dial M for Murder,1954,"Crime,Drama,Mystery",8.1,203733,movie,99.0189812955187,1950
On the Waterfront,1954,"Crime,Drama,Thriller",8.1,176990,movie,97.87917295355687,1950
Rear Window,1954,"Drama,Mystery,Thriller",8.5,566456,movie,112.60081483551198,1950
Sabrina,1954,"Comedy,Drama,Romance",7.6,75446,movie,85.35691060137053,1950
Seven Samurai,1954,"Action,Drama",8.6,399866,movie,110.93040902169972,1950
La Strada,1954,Drama,8.0,69702,movie,89.21587432593223,1950
White Christmas,1954,"Comedy,Musical,Romance",7.5,58089,movie,82.27298697128631,1950
East of Eden,1955,Drama,7.8,51572,movie,84.63572651453968,1950
Lady and the Tramp,1955,"Adventure,Animation,Comedy",7.3,160732,movie,87.50870372320887,1950
The Night of the Hunter,1955,"Crime,Drama,Thriller",8.0,106946,movie,92.64063450525295,1950
Rebel Without a Cause,1955,Drama,7.6,102857,movie,87.71232164315774,1950
To Catch a Thief,1955,"Drama,Mystery,Romance",7.4,86207,movie,84.09734928289915,1950
Forbidden Planet,1956,"Adventure,Sci-Fi",7.5,56864,movie,82.11313298215782,1950
Invasion of the Body Snatchers,1956,"Drama,Horror,Sci-Fi",7.7,59374,movie,84.63541008299184,1950
The Killing,1956,"Crime,Drama,Film-Noir",7.9,105135,movie,91.34770408906003,1950
The Man Who Knew Too Much,1956,"Crime,Drama,Mystery",7.4,75722,movie,83.1376977337575,1950
The Searchers,1956,"Adventure,Western",7.8,103193,movie,90.04597914211936,1950
The Ten Commandments,1956,"Adventure,Drama,Family",7.9,83512,movie,89.52869034339626,1950
12 Angry Men,1957,"Crime,Drama",9.0,976110,movie,124.12197507566287,1950
The Bridge on the River Kwai,1957,"Adventure,Drama,War",8.1,247698,movie,100.60172088340771,1950
Throne of Blood,1957,Drama,8.0,59822,movie,87.99303012207427,1950
Nights of Cabiria,1957,Drama,8.1,56853,movie,88.68061657270285,1950
Paths of Glory,1957,"Drama,War",8.4,237551,movie,103.97635597646878,1950
The Seventh Seal,1957,"Drama,Fantasy",8.1,214983,movie,99.45434529715105,1950
Wild Strawberries,1957,"Drama,Romance",8.1,123939,movie,94.9931127833131,1950
Witness for the Prosecution,1957,"Crime,Drama,Mystery",8.4,160445,movie,100.67993446305121,1950
Cat on a Hot Tin Roof,1958,Drama,7.9,56717,movie,86.47205122044593,1950
Touch of Evil,1958,"Crime,Drama,Film-Noir",7.9,114503,movie,92.0220147898018,1950
Vertigo,1958,"Mystery,Romance,Thriller",8.2,457311,movie,106.87157550142328,1950
The Twilight Zone,1959,"Drama,Fantasy,Horror",9.0,107803,tvSeries,104.29254689745015,1950
Anatomy of a Murder,1959,"Drama,Mystery",8.0,77355,movie,90.04928396122536,1950
Ben-Hur,1959,"Adventure,Drama",8.1,270141,movie,101.30426452352653,1950
North by Northwest,1959,"Adventure,Drama,Mystery",8.3,368354,movie,106.37943760369986,1950
The 400 Blows,1959,"Crime,Drama",8.0,133947,movie,94.44159582644302,1950
Rio Bravo,1959,Western,8.0,73159,movie,89.60312346991984,1950
Sleeping Beauty,1959,"Adventure,Animation,Family",7.2,171343,movie,86.77024325575988,1950
Some Like It Hot,1959,"Comedy,Music,Romance",8.2,303431,movie,103.50785803138942,1950
Breathless,1960,"Crime,Drama",7.6,94637,movie,87.07930887300557,1960
The Apartment,1960,"Comedy,Drama,Romance",8.3,217872,movie,102.02080301092417,1960
La Dolce Vita,1960,"Comedy,Drama",8.0,85454,movie,90.84586798758977,1960
The Magnificent Seven,1960,"Action,Adventure,Drama",7.7,110080,movie,89.38901242938721,1960
Psycho,1960,"Drama,Horror,Mystery",8.5,781129,movie,115.33221249831962,1960
Spartacus,1960,"Adventure,Biography,Drama",7.9,151361,movie,94.22664162913075,1960
Breakfast at Tiffany's,1961,"Comedy,Drama,Romance",7.5,203537,movie,91.67702314139763,1960
The Guns of Navarone,1961,"Action,Adventure,Drama",7.5,59373,movie,82.43696142419317,1960
The Hustler,1961,"Drama,Sport",7.9,90799,movie,90.18958805537176,1960
Judgment at Nuremberg,1961,"Drama,History,War",8.3,96328,movie,95.24676880264806,1960
One Hundred and One Dalmatians,1961,"Adventure,Animation,Comedy",7.3,195428,movie,88.93551532013758,1960
West Side Story,1961,"Crime,Drama,Musical",7.6,127206,movie,89.32707954926134,1960
Yojimbo,1961,"Action,Drama,Thriller",8.2,142285,movie,97.2978164128317,1960
Dr. No,1962,"Action,Adventure,Thriller",7.2,194056,movie,87.66649480453242,1960
Harakiri,1962,"Drama,Mystery",8.6,89770,movie,98.08305265565632,1960
Lawrence of Arabia,1962,"Adventure,Biography,Drama",8.3,339897,movie,105.71210264901539,1960
Lolita,1962,"Crime,Drama,Romance",7.5,115460,movie,87.42509571461194,1960
The Longest Day,1962,"Action,Drama,History",7.7,62497,movie,85.03012852620792,1960
The Man Who Shot Liberty Valance,1962,"Drama,Western",8.1,88171,movie,92.23497045691803,1960
The Manchurian Candidate,1962,"Drama,Thriller",7.9,84374,movie,89.60981515239669,1960
To Kill a Mockingbird,1962,"Crime,Drama",8.2,350396,movie,104.68791762412363,1960
What Ever Happened to Baby Jane?,1962,"Drama,Horror,Thriller",8.0,67243,movie,88.92854562261677,1960
8½,1963,Drama,8.0,132236,movie,94.33874787202838,1960
The Birds,1963,"Drama,Horror,Mystery",7.6,219024,movie,93.45671809794823,1960
Charade,1963,"Comedy,Mystery,Romance",7.8,92810,movie,89.21881543839761,1960
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy,War",8.3,549338,movie,109.69669432591185,1960
From Russia with Love,1963,"Action,Adventure,Thriller",7.3,157461,movie,87.3586115390241,1960
The Great Escape,1963,"Adventure,Drama,Thriller",8.2,276174,movie,102.73604832289924,1960
It's a Mad Mad Mad Mad World,1963,"Action,Adventure,Comedy",7.5,50575,movie,81.2340949652696,1960
The Pink Panther,1963,"Comedy,Crime,Romance",7.0,61348,movie,77.17022494839469,1960
The Sword in the Stone,1963,"Adventure,Animation,Comedy",7.1,113715,movie,82.65429923982545,1960
High and Low,1963,"Crime,Drama,Mystery",8.4,70559,movie,93.779317953255,1960
Goldfinger,1964,"Action,Adventure,Thriller",7.7,216211,movie,94.58687747515832,1960
A Hard Day's Night,1964,"Comedy,Musical",7.5,50870,movie,81.27771478362608,1960
Marnie,1964,"Crime,Drama,Mystery",7.1,57426,movie,77.80359233411012,1960
Mary Poppins,1964,"Comedy,Family,Fantasy",7.8,197797,movie,95.12097294352024,1960
My Fair Lady,1964,"Drama,Family,Musical",7.7,107276,movie,89.19033378372563,1960
A Fistful of Dollars,1964,"Drama,Western",7.9,252165,movie,98.25892742166862,1960
The Battle of Algiers,1966,"Drama,War",8.1,75018,movie,90.92641524615674,1960
Doctor Zhivago,1965,"Drama,Romance,War",7.9,86747,movie,89.82893380912067,1960
For a Few Dollars More,1965,"Drama,Western",8.2,298585,movie,103.37584141286449,1960
Repulsion,1965,"Drama,Horror,Thriller",7.5,61067,movie,82.64795175790833,1960
The Sound of Music,1965,"Biography,Drama,Family",8.1,289529,movie,101.86568702388743,1960
Thunderball,1965,"Action,Adventure,Thriller",6.9,136714,movie,81.59696037744271,1960
Star Trek,1966,"Action,Adventure,Sci-Fi",8.4,100155,tvSeries,96.72158382566467,1960
Andrei Rublev,1966,"Biography,Drama,History",8.0,60253,movie,88.05046114115532,1960
Blow-Up,1966,"Drama,Mystery,Thriller",7.4,72244,movie,82.78975372582231,1960
"The Good, the Bad and the Ugly",1966,"Adventure,Drama,Western",8.8,886417,movie,120.51549640672616,1960
Persona,1966,"Drama,Thriller",8.0,139806,movie,94.78408821052649,1960
Who's Afraid of Virginia Woolf?,1966,Drama,8.0,83897,movie,90.69876107970087,1960
Belle de Jour,1967,"Drama,Romance",7.6,53090,movie,82.68605337839065,1960
Bonnie and Clyde,1967,"Action,Biography,Crime",7.7,127602,movie,90.52636919288412,1960
Cool Hand Luke,1967,"Crime,Drama",8.0,196943,movie,97.52535700601344,1960
The Dirty Dozen,1967,"Action,Adventure,War",7.7,83719,movie,87.28120348571807,1960
The Graduate,1967,"Comedy,Drama,Romance",8.0,302011,movie,100.94574975627788,1960
Guess Who's Coming to Dinner,1967,"Comedy,Drama",7.8,52523,movie,84.77825029348047,1960
In the Heat of the Night,1967,"Drama,Mystery,Thriller",7.9,90513,movie,90.16466524966754,1960
The Jungle Book,1967,"Adventure,Animation,Comedy",7.6,212055,movie,93.21096725016623,1960
Le Samouraï,1967,"Crime,Drama,Thriller",8.0,65277,movie,88.69116026159705,1960
You Only Live Twice,1967,"Action,Adventure,Thriller",6.8,126359,movie,79.87879991871775,1960
2001: A Space Odyssey,1968,"Adventure,Sci-Fi",8.3,778078,movie,112.58603105819765,1960
Bullitt,1968,"Action,Crime,Thriller",7.4,81439,movie,83.67631069020625,1960
Chitty Chitty Bang Bang,1968,"Adventure,Family,Fantasy",7.0,54715,movie,76.36925221696781,1960
Night of the Living Dead,1968,"Horror,Thriller",7.8,150136,movie,92.97051526597464,1960
Planet of the Apes,1968,"Adventure,Sci-Fi",8.0,209801,movie,98.03131793101765,1960
The Producers,1967,"Comedy,Music",7.5,64584,movie,83.06791485806139,1960
Rosemary's Baby,1968,"Drama,Horror",8.0,256449,movie,99.63748074731375,1960
Monty Python's Flying Circus,1969,Comedy,8.8,87006,tvSeries,100.08884477482837,1960
Butch Cassidy and the Sundance Kid,1969,"Adventure,Biography,Crime",8.0,238507,movie,99.05723151187719,1960
Once Upon a Time in the West,1968,"Drama,Western",8.5,382327,movie,109.25926811001025,1960
Easy Rider,1969,"Adventure,Drama",7.2,123056,movie,84.38684267013721,1960
The Italian Job,1969,"Action,Comedy,Crime",7.2,54013,movie,78.458256268659,1960
Midnight Cowboy,1969,Drama,7.8,130868,movie,91.89916679261366,1960
On Her Majesty's Secret Service,1969,"Action,Adventure,Thriller",6.7,107687,movie,77.63279380630706,1960
True Grit,1969,"Adventure,Drama,Western",7.4,54824,movie,80.74793666616588,1960
Where Eagles Dare,1968,"Action,Adventure,War",7.6,67484,movie,84.50930816911658,1960
The Wild Bunch,1969,"Action,Adventure,Drama",7.9,94992,movie,90.5462288564326,1960
The Aristocats,1970,"Adventure,Animation,Comedy",7.1,124185,movie,83.2796464445112,1970
Beneath the Planet of the Apes,1970,"Action,Adventure,Sci-Fi",6.0,57398,movie,65.74658843097026,1970
Kelly's Heroes,1970,"Adventure,Comedy,War",7.6,58137,movie,83.37623755627712,1970
M*A*S*H,1970,"Comedy,Drama,War",7.3,82301,movie,82.6224113219953,1970
Patton,1970,"Biography,Drama,War",7.9,113983,movie,91.98605628825266,1970
THX 1138,1971,"Drama,Sci-Fi,Thriller",6.6,57318,movie,72.31204193068722,1970
A Clockwork Orange,1971,"Crime,Sci-Fi",8.2,932720,movie,112.71605468637881,1970
Diamonds Are Forever,1971,"Action,Adventure,Thriller",6.5,122257,movie,76.14022432517505,1970
Dirty Harry,1971,"Action,Crime,Thriller",7.7,179946,movie,93.17317305344775,1970
Fiddler on the Roof,1971,"Drama,Family,Musical",8.0,51871,movie,86.85212116901005,1970
The French Connection,1971,"Action,Crime,Drama",7.7,149627,movie,91.75243623331285,1970
Harold and Maude,1971,"Comedy,Drama,Romance",7.8,85859,movie,88.61160121978112,1970
The Last Picture Show,1971,"Drama,Romance",8.0,56587,movie,87.54827644665224,1970
Straw Dogs,1971,"Crime,Drama,Thriller",7.4,67983,movie,82.33989585148247,1970
Willy Wonka & the Chocolate Factory,1971,"Adventure,Comedy,Family",7.8,243815,movie,96.75248715582468,1970
M*A*S*H,1972,"Comedy,Drama,War",8.5,68830,tvSeries,94.68485729083548,1970
"Aguirre, the Wrath of God",1972,"Action,Adventure,Biography",7.8,67422,movie,86.72606789446046,1970
Cabaret,1972,"Drama,Music,Musical",7.8,64118,movie,86.3341472348247,1970
