Title,Year,Genres,Rating,Votes,Type
The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller",8.0,75807,movie
The Kid,1921,"Comedy,Drama,Family",8.2,144964,movie
Nosferatu: A Symphony of Horror,1922,"Fantasy,Horror",7.8,122771,movie
Sherlock Jr.,1924,"Action,Comedy,Romance",8.1,65179,movie
Battleship Potemkin,1925,"Drama,History,Thriller",7.9,64840,movie
The Gold Rush,1925,"Adventure,Comedy,Drama",8.1,127611,movie
Metropolis,1927,"Drama,Sci-Fi",8.2,200151,movie
The General,1926,"Action,Adventure,Comedy",8.1,105713,movie
Sunrise,1927,"Drama,Romance",8.1,56471,movie
The Passion of Joan of Arc,1928,"Biography,Drama,History",8.1,67728,movie
All Quiet on the Western Front,1930,"Drama,War",8.1,71690,movie
City Lights,1931,"Comedy,Drama,Romance",8.5,215549,movie
Dracula,1931,"Drama,Fantasy,Horror",7.3,64472,movie
Frankenstein,1931,"Drama,Horror,Sci-Fi",7.7,87430,movie
M,1931,"Crime,Mystery,Thriller",8.3,182006,movie
Freaks,1932,"Drama,Horror",7.8,54453,movie
Duck Soup,1933,"Comedy,Musical",7.7,65214,movie
King Kong,1933,"Adventure,Horror",7.9,95507,movie
It Happened One Night,1934,"Comedy,Romance",8.1,119243,movie
The 39 Steps,1935,"Crime,Mystery,Thriller",7.6,65788,movie
Bride of Frankenstein,1935,"Drama,Horror,Sci-Fi",7.8,58520,movie
Modern Times,1936,"Comedy,Drama,Romance",8.5,284080,movie
Snow White and the Seven Dwarfs,1937,"Adventure,Animation,Family",7.6,237618,movie
The Adventures of Robin Hood,1938,"Action,Adventure,Romance",7.9,57536,movie
Bringing Up Baby,1938,Comedy,7.8,70142,movie
The Lady Vanishes,1938,"Crime,Drama,Mystery",7.7,61071,movie
Gone with the Wind,1939,"Drama,Romance,War",8.2,354951,movie
Mr. Smith Goes to Washington,1939,"Comedy,Drama",8.1,128963,movie
Stagecoach,1939,"Adventure,Drama,Western",7.8,58444,movie
The Wizard of Oz,1939,"Adventure,Family,Fantasy",8.1,465186,movie
Fantasia,1940,"Animation,Family,Fantasy",7.7,110691,movie
The Grapes of Wrath,1940,Drama,8.1,107963,movie
The Great Dictator,1940,"Comedy,Drama,War",8.4,258378,movie
His Girl Friday,1940,"Comedy,Drama,Romance",7.8,67622,movie
The Philadelphia Story,1940,"Comedy,Romance",7.8,78178,movie
Pinocchio,1940,"Adventure,Animation,Comedy",7.5,171594,movie
Rebecca,1940,"Drama,Mystery,Romance",8.1,161965,movie
